ANO_OID,ANO_PUBLIC_ID,OLD_NAME,NEW_NAME,SYN_SYNONYM
13060,EMAPA:28089,urothelium of ureter,urothelium of ureter,transitional epithelium
13089,EMAPA:28588,superficial cell layer of ureter,superficial cell layer of ureter,umbrella cell
13120,EMAPA:28850,interstitium,ureteral smooth muscle layer interstitium,Cajal cell
13320,EMAPA:17383,gonad,gonad,gonad primordium
13325,EMAPA:17384,coelomic epithelium,coelomic epithelium,germinal epithelium
13330,EMAPA:17385,gonadal mesenchyme,gonadal mesenchyme,mesenchyme
13335,EMAPA:27653,anterior gonadal mesenchyme,anterior gonadal mesenchyme,rostral gonadal mesenchyme
13342,EMAPA:27657,posterior gonadal mesenchyme,posterior gonadal mesenchyme,caudal gonadal mesenchyme
13400,EMAPA:17963,surface epithelium of ovary,surface epithelium of ovary,coelomic epithelium
13428,EMAPA:28965,meiotic germ cell,meiotic germ cell,oocyte
13436,EMAPA:28971,premeiotic germ cell,premeiotic germ cell,oogonia
13508,EMAPA:18329,labial swelling,labial swelling,labia
13508,EMAPA:18329,labial swelling,labial swelling,labia
13539,EMAPA:18985,uterine horn,uterine horn,uterus
13555,EMAPA:18999,lower part of vagina,lower part of vagina,sinus vagina
13573,EMAPA:19173,internal,female internal inguinal ring,deep
13578,EMAPA:19174,external,female external inguinal ring,superficial
13630,EMAPA:28937,"paramesonephric duct of female, mesonephric portion","paramesonephric duct of female, mesonephric portion",Mullerian duct of female
13686,EMAPA:17969,genital tubercle of male,genital tubercle of male,penis anlage
13686,EMAPA:17969,genital tubercle of male,genital tubercle of male,penis anlage
13686,EMAPA:17969,genital tubercle of male,genital tubercle of male,penis anlage
13828,EMAPA:18681,ductus deferens,ductus deferens,vas deferens
13828,EMAPA:18681,ductus deferens,ductus deferens,vas deferens
13854,EMAPA:18682,penis,penis,genital tubercle of male
13854,EMAPA:18682,penis,penis,genital tubercle of male
13914,EMAPA:18993,efferent duct of seminal vesicle,efferent duct of seminal vesicle,vasa efferentia
13934,EMAPA:19089,gubernaculum,gubernaculum,caudal suspensory ligament
13934,EMAPA:19089,gubernaculum,gubernaculum,caudal suspensory ligament
13979,EMAPA:27665,paramesonephric duct,paramesonephric duct,Mullerian duct
26945,EMAPA:28407,collecting duct,collecting duct,ureteric tree
26993,EMAPA:28485,maturing nephron,maturing nephron,stage IV nephron
27026,EMAPA:28506,developing capillary loop stage nephron GROUP,developing capillary loop stage nephron GROUP,stage III nephron
28775,EMAPA:29671,distal straight tubule,distal straight tubule,thick ascending limb
28780,EMAPA:29683,premacula segment of distal straight tubule,premacula segment of distal straight tubule,thick ascending limb
28807,EMAPA:29067,follicle cell of primary follicle,follicle cell of primary follicle,granulosa cell of primary follicle
28812,EMAPA:29862,secondary follicle,secondary follicle,antral follicle
28814,EMAPA:29866,follicle cell of secondary follicle,follicle cell of secondary follicle,granulosa cell of secondary follicle
28820,EMAPA:29878,apoptotic germinal cell,apoptotic germinal cell,apoptotic granulosa
28821,EMAPA:29880,ruptured follicle,ruptured follicle,ovulated follicle
28823,EMAPA:29884,germinal cell of ruptured follicle,germinal cell of ruptured follicle,granulosa
28845,EMAPA:29030,epithelium,uterine horn epithelium,endometrium
28846,EMAPA:29034,muscular layer,uterine horn muscular layer,myometrium
28873,EMAPA:29205,distal genital tubercle of male,distal genital tubercle of male,glans of male
28879,EMAPA:29220,preputial swelling of male,preputial swelling of male,prepuce of male
28879,EMAPA:29220,preputial swelling of male,preputial swelling of male,prepuce of male
28879,EMAPA:29220,preputial swelling of male,preputial swelling of male,prepuce of male
28944,EMAPA:29161,degenerating mesonephric portion of male paramesonephric duct,degenerating mesonephric portion of male paramesonephric duct,Mullerian duct
28951,EMAPA:29196,degenerating rest of paramesonephric duct of male,degenerating rest of paramesonephric duct of male,degenerating Mullerian duct
28984,EMAPA:29794,anterior prostate gland,anterior prostate gland,coagulating gland
30114,EMAPA:18326,renal medullary interstitium,renal medullary interstitium,medullary stroma
30114,EMAPA:18326,renal medullary interstitium,renal medullary interstitium,medullary stroma
30116,EMAPA:31021,bend of immature loop of Henle,bend of immature loop of Henle,U-turn
30116,EMAPA:31021,bend of immature loop of Henle,bend of immature loop of Henle,U-turn
30116,EMAPA:31021,bend of immature loop of Henle,bend of immature loop of Henle,U-turn
30116,EMAPA:31021,bend of immature loop of Henle,bend of immature loop of Henle,U-turn
30117,EMAPA:30043,renal medullary capillary,renal medullary capillary,vasa recta
30117,EMAPA:30043,renal medullary capillary,renal medullary capillary,vasa recta
30117,EMAPA:30043,renal medullary capillary,renal medullary capillary,vasa recta
30117,EMAPA:30043,renal medullary capillary,renal medullary capillary,vasa recta
30117,EMAPA:30043,renal medullary capillary,renal medullary capillary,vasa recta
30118,EMAPA:30870,primitive bladder,primitive bladder,cranial urogenital sinus
30130,EMAPA:30150,interstitium,ureteral smooth muscle layer interstitium,Cajal cell
30149,EMAPA:30917,phallic urethra of female,phallic urethra of female,external urethra of female
30164,EMAPA:30077,dorsal genital swelling,dorsal genital swelling,dorsal genital tubercle
30165,EMAPA:30079,ventrolateral genital swelling,ventrolateral genital swelling,ventrolateral genital tubercle
30169,EMAPA:30522,tunica albuginea of ovary,tunica albuginea of ovary,ovarian capsule
30173,EMAPA:30763,tertiary follicle,tertiary follicle,antral follicle
30175,EMAPA:30767,follicle cell of tertiary follicle,follicle cell of tertiary follicle,granulosa cell of tertiary follicle
30180,EMAPA:30777,Graafian follicle,Graafian follicle,pre-ovulatory follicle
30182,EMAPA:30781,germinal cell of mature follicle,germinal cell of mature follicle,granulosa
30195,EMAPA:30478,preputial swelling of female,preputial swelling of female,prepuce of female
30195,EMAPA:30478,preputial swelling of female,preputial swelling of female,prepuce of female
30195,EMAPA:30478,preputial swelling of female,preputial swelling of female,prepuce of female
30199,EMAPA:30484,distal genital tubercle of female,distal genital tubercle of female,glans of female
30199,EMAPA:30484,distal genital tubercle of female,distal genital tubercle of female,glans of female
30199,EMAPA:30484,distal genital tubercle of female,distal genital tubercle of female,glans of female
30222,EMAPA:30819,clitoris,clitoris,genital tubercle of female
30222,EMAPA:30819,clitoris,clitoris,genital tubercle of female
30274,EMAPA:19286,bulbourethral gland,bulbourethral gland,Cowper's gland
31625,EMAPA:31367,resident macrophage of the perihilar interstitium,resident macrophage of the perihilar interstitium,renal monocytes of the perihilar interstitium
31625,EMAPA:31367,resident macrophage of the perihilar interstitium,resident macrophage of the perihilar interstitium,renal monocytes of the perihilar interstitium
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31630,EMAPA:31281,anlage of loop of Henle,anlage of loop of Henle,primitive loop of Henle
31634,EMAPA:31296,resident macrophages of the cortex,resident macrophages of the cortex,renal monocytes of the cortex
31634,EMAPA:31296,resident macrophages of the cortex,resident macrophages of the cortex,renal monocytes of the cortex
31641,EMAPA:31333,resident macrophages of the medulla,resident macrophages of the medulla,renal monocytes of the medulla
31641,EMAPA:31333,resident macrophages of the medulla,resident macrophages of the medulla,renal monocytes of the medulla
31647,EMAPA:31389,resident macrophage of the outer medulla,resident macrophage of the outer medulla,renal monocytes of the outer medulla
31647,EMAPA:31389,resident macrophage of the outer medulla,resident macrophage of the outer medulla,renal monocytes of the outer medulla
31652,EMAPA:31404,resident macrophage of the inner medulla,resident macrophage of the inner medulla,renal monocytes of the inner medulla
31652,EMAPA:31404,resident macrophage of the inner medulla,resident macrophage of the inner medulla,renal monocytes of the inner medulla
31656,EMAPA:31270,nephrogenic interstitium,nephrogenic interstitium,peripheral blastema
31656,EMAPA:31270,nephrogenic interstitium,nephrogenic interstitium,peripheral blastema
31656,EMAPA:31270,nephrogenic interstitium,nephrogenic interstitium,peripheral blastema
31657,EMAPA:31273,resident macrophages,resident macrophages,renal monocytes
31657,EMAPA:31273,resident macrophages,resident macrophages,renal monocytes
31660,EMAPA:17953,nephrogenic interstitium,nephrogenic interstitium,peripheral blastema
31660,EMAPA:17953,nephrogenic interstitium,nephrogenic interstitium,peripheral blastema
31664,EMAPA:17956,phallic urethra of male,phallic urethra of male,external urethra of male
31670,EMAPA:31247,follicle cell of primordial follicle,follicle cell of primordial follicle,granulosa cell
31679,EMAPA:18685,seminiferous cord,seminiferous cord,seminiferous tubule
31682,EMAPA:18687,interstitium of the testis,interstitium of the testis,interstitial tissue
31684,EMAPA:19176,rest of interstitium of the testis,rest of interstitium of the testis,non-specific mesenchyme
31697,EMAPA:19180,seminal vesicle,seminal vesicle,vesicular seminalis
32617,EMAPA:31511,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32617,EMAPA:31511,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32617,EMAPA:31511,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32617,EMAPA:31511,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32617,EMAPA:31511,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32617,EMAPA:31511,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32617,EMAPA:31511,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32617,EMAPA:31511,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32617,EMAPA:31511,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32617,EMAPA:31511,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32617,EMAPA:31511,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
32617,EMAPA:31511,early distal tubule of capillary loop nephron,early distal tubule of capillary loop nephron,anlage of distal tubule
